id,id_role,feature_group,boleh_baca,boleh_tulis
1,1,aturan-penggajian,t,t
2,2,aturan-penggajian,f,f
3,3,aturan-penggajian,f,f
4,4,aturan-penggajian,f,f
5,1,auth,t,t
6,2,auth,f,f
7,3,auth,f,f
8,4,auth,f,f
9,1,donor,t,t
10,2,donor,t,t
11,3,donor,t,t
12,4,donor,t,t
13,1,finansial,t,t
14,2,finansial,t,t
15,3,finansial,f,f
16,4,finansial,f,f
17,1,inventori-darah,t,t
18,2,inventori-darah,t,t
19,3,inventori-darah,f,f
20,4,inventori-darah,f,f
21,1,inventori-medis,t,t
22,2,inventori-medis,t,t
23,3,inventori-medis,f,f
24,4,inventori-medis,f,f
25,1,inventori-non-medis,t,t
26,2,inventori-non-medis,t,t
27,3,inventori-non-medis,f,f
28,4,inventori-non-medis,f,f
29,1,kontak,t,t
30,2,kontak,t,f
31,3,kontak,f,f
32,4,kontak,f,f
33,1,laboratorium,t,t
34,2,laboratorium,t,t
35,3,laboratorium,t,t
36,4,laboratorium,f,f
37,1,logistik-utd,t,t
38,2,logistik-utd,t,t
39,3,logistik-utd,f,f
40,4,logistik-utd,f,f
41,1,lokasi,t,t
42,2,lokasi,t,f
43,3,lokasi,f,f
44,4,lokasi,f,f
45,1,operasi,t,t
46,2,operasi,f,f
47,3,operasi,t,t
48,4,operasi,t,t
49,1,pelayanan-darah,t,t
50,2,pelayanan-darah,t,t
51,3,pelayanan-darah,t,t
52,4,pelayanan-darah,t,t
53,1,penanganan-donor,t,t
54,2,penanganan-donor,t,t
55,3,penanganan-donor,t,t
56,4,penanganan-donor,t,t
57,1,pendidikan,t,t
58,2,pendidikan,t,f
59,3,pendidikan,f,f
60,4,pendidikan,f,f
61,1,person,t,t
62,2,person,t,t
63,3,person,f,f
64,4,person,f,f
65,1,radiologi,t,t
66,2,radiologi,t,t
67,3,radiologi,t,t
68,4,radiologi,f,f
69,1,rawat-inap,t,t
70,2,rawat-inap,t,t
71,3,rawat-inap,t,t
72,4,rawat-inap,t,t
73,1,rawat-jalan,t,t
74,2,rawat-jalan,t,t
75,3,rawat-jalan,t,t
76,4,rawat-jalan,t,t
77,1,registrasi,t,t
78,2,registrasi,t,t
79,3,registrasi,f,f
80,4,registrasi,f,f
81,1,role,t,t
82,2,role,t,t
83,3,role,f,f
84,4,role,f,f
85,1,ruangan,t,t
86,2,ruangan,t,f
87,3,ruangan,f,f
88,4,ruangan,f,f
89,1,skrining-rawat-jalan,t,t
90,2,skrining-rawat-jalan,t,t
91,3,skrining-rawat-jalan,t,t
92,4,skrining-rawat-jalan,t,t
93,1,triase-ugd,t,t
94,2,triase-ugd,f,f
95,3,triase-ugd,t,t
96,4,triase-ugd,t,t
97,1,unit-gawat-darurat,t,t
98,2,unit-gawat-darurat,t,t
99,3,unit-gawat-darurat,t,t
100,4,unit-gawat-darurat,t,t
101,1,uji-darah,t,t
102,2,uji-darah,t,t
103,3,uji-darah,t,t
104,4,uji-darah,f,f
105,1,unit,t,t
106,2,unit,t,f
107,3,unit,f,f
108,4,unit,f,f
