slug,nama_grup
aturan-penggajian,Aturan Penggajian
auth,Auth
donor,Donor
finansial,Finansial
inventori-darah,Inventori Darah
inventori-medis,Inventori Medis
inventori-non-medis,Inventori Non-Medis
kontak,Kontak
laboratorium,Laboratorium
logistik-utd,Logistik UTD
lokasi,Lokasi
operasi,Operasi
pelayanan-darah,Pelayanan Darah
penanganan-donor,Penanganan Donor
pendidikan,Pendidikan
person,Person
radiologi,Radiologi
rawat-inap,Rawat Inap
rawat-jalan,Rawat Jalan
registrasi,Registrasi
role,Role
ruangan,Ruangan
skrining-rawat-jalan,Skrining Rawat Jalan
triase-ugd,Triase UGD
unit-gawat-darurat,Unit Gawat Darurat
uji-darah,Uji Darah
unit,Unit
