id_bank,kode_bank,nama_bank,sebutan,pemilik_id,prinsip_id,is_bank_devisa,mobile_app,link_playstore
0,000,-,Internal,0,0,FALSE,-,-
1,002,BANK RAKYAT INDONESIA,BRI,1,1,TRUE,BRImo,https://play.google.com/store/apps/details?id=id.co.bri.brimo&hl=id
2,008,BANK MANDIRI,Mandiri,1,1,TRUE,Livin' by Mandiri,https://play.google.com/store/apps/details?id=id.bmri.livin&hl=id
3,009,BANK NEGARA INDONESIA,BNI,1,1,TRUE,wondr by BNI,https://play.google.com/store/apps/details?id=id.bni.wondr&hl=id
4,200,BANK TABUNGAN NEGARA,BTN,1,2,TRUE,bale by BTN,https://play.google.com/store/apps/details?id=id.co.btn.mobilebanking.android&hl=id
5,011,BANK DANAMON INDONESIA,Danamon,4,2,TRUE,D-Bank PRO,https://play.google.com/store/apps/details?id=com.dbank.mobile&hl=id
6,013,BANK PERMATA,Permata,4,2,TRUE,Permata ME,https://play.google.com/store/apps/details?id=net.myinfosys.PermataMobileX&hl=id
7,014,BANK CENTRAL ASIA,BCA,3,1,TRUE,myBCA,https://play.google.com/store/apps/details?id=com.bca.mybca.omni.android&hl=id
8,016,BANK MAYBANK INDONESIA,Maybank,4,2,TRUE,Maybank2u ID,https://play.google.com/store/apps/details?id=id.com.uiux.mobile&hl=id
9,019,PAN INDONESIA BANK,Panin,3,1,TRUE,MobilePanin,https://play.google.com/store/apps/details?id=com.panin.mobilepanin&hl=id
10,022,BANK CIMB NIAGA,CIMB,4,2,TRUE,OCTO Mobile by CIMB Niaga,https://play.google.com/store/apps/details?id=id.co.cimbniaga.mobile.android&hl=id
11,023,BANK UOB INDONESIA,UOB,4,1,TRUE,UOB TMRW Indonesia,https://play.google.com/store/apps/details?id=com.uob.id.digitalbank&hl=id
12,028,BANK OCBC NISP,OCBC,4,2,TRUE,OCBC mobile Indonesia,https://play.google.com/store/apps/details?id=com.ocbcnisp.onemobileapp&hl=id
13,037,BANK ARTHA GRAHA INTERNASIONAL,,3,1,TRUE,agi,https://play.google.com/store/apps/details?id=id.co.bankarthagraha.mobile_banking&hl=id
14,076,BANK BUMI ARTA,,3,1,TRUE,BBA Mobile,https://play.google.com/store/apps/details?id=mlpt.siemo.mobilebanking.bba&hl=id
15,087,BANK HSBC INDONESIA,,4,1,TRUE,HSBC Indonesia,https://play.google.com/store/apps/details?id=id.hsbc.hsbcindonesia&hl=id
16,095,BANK JTRUST INDONESIA,,4,1,TRUE,J MOBILE by J Trust Bank,https://play.google.com/store/apps/details?id=com.dwidasa.mb.jtrust&hl=id
17,097,BANK MAYAPADA INTERNATIONAL,,3,1,TRUE,My Mobile Mayapada,https://play.google.com/store/apps/details?id=mayapada.mbank&hl=id
18,146,BANK OF INDIA INDONESIA,Muamalat,4,1,TRUE,STARBOII Mobile,https://play.google.com/store/apps/details?id=com.dwi.boii.mb&hl=id
19,147,BANK MUAMALAT INDONESIA,,3,3,TRUE,Muamalat DIN,https://play.google.com/store/apps/details?id=com.muamalatdin&hl=id
20,151,BANK MESTIKA DHARMA,,3,1,TRUE,Mestika Mobile,https://play.google.com/store/apps/details?id=com.aprisma.product.primemobile.mestika&hl=id
21,152,BANK SHINHAN INDONESIA,,4,1,TRUE,Bank Shinhan Indonesia SOL,https://play.google.com/store/apps/details?id=com.shinhan.global.id.bank&hl=id
22,153,BANK SINARMAS,,3,1,TRUE,SimobiPlus Mobile Banking,https://play.google.com/store/apps/details?id=com.simas.mobile.SimobiPlus&hl=id
23,157,BANK MASPION INDONESIA,,4,1,TRUE,Maspion Electronic Banking,https://play.google.com/store/apps/details?id=com.dwidasa.bmi.mb.android&hl=id
24,161,BANK GANESHA,,3,1,TRUE,BANGGA,https://play.google.com/store/apps/details?id=com.bangga.ganesha.mb.android&hl=id
25,164,BANK ICBC INDONESIA,,4,1,TRUE,ICBC Mobile Banking,https://play.google.com/store/apps/details/ICBC_Mobile_Banking?id=com.icbc.mobile.abroadbank&hl=id
26,167,BANK QNB INDONESIA,,4,1,TRUE,QNB Indonesia Mobile Banking,https://play.google.com/store/apps/details?id=com.daksa.dooeet&hl=id
