id_rekening,bank,nama_akun,nomor_rekening
0,0,-,-
1,7,Bank BCA,8820314551
2,73,Bank DKI,1012108455
3,80,Bank Nagari Padang,2100010200345
4,0,Bayar Cash,-
5,3,Bayar Via Bank BNI,91234567
6,1,Bayar Via BRI,002101000123501
7,1,Bayar Via BRIVA,12345000001234
8,7,Bayar Via Debit BCA,8820314551
9,50,Host to Host Bank BJB,12345678001
10,75,Host to Host Bank Jateng,1002034567
11,0,Kas Kecil,-
12,0,Titipan Uang Muka,-
13,2,Transfer Mandiri,1560009876543
14,2,Transfer Mandiri Via EDC,1560009876543
15,7,PT Sumber Makmur Abadi,1234567890
16,2,CV Bersih Jaya,1300456789
17,3,PT Lab Utama Sejahtera,0334567891
18,1,PT Teknologi Kantor Indonesia,0098765432
19,7,CV Umum Sentosa,7700112233
