id_desa,id_provinsi,id_kota_lokal,id_kec_lokal,id_desa_lokal,nama_desa
0,0,0,0,0,-
1,1,1,1,2001,Keude Bakongan
2,1,1,1,2002,Ujong Mangki
3,1,1,1,2003,Ujong Padang
4,1,1,1,2004,Gampong Drien
5,1,1,1,2015,Darul Ikhsan
6,1,1,1,2016,Padang Beurahan
7,1,1,1,2017,Gampong Baro
8,1,1,2,2001,Fajar Harapan
9,1,1,2,2002,Krueng Batee
10,15,78,8,1001,Gubeng
11,15,78,8,1002,Mojo
12,15,78,8,1003,Airlangga
13,15,78,8,1004,Kertajaya
14,15,78,8,1005,Baratajaya
15,15,78,8,1006,Pucang Sewu
16,15,78,1,1001,Tegalsari
17,15,78,1,1002,Dr. Soetomo
18,15,78,1,1003,Wonorejo
19,15,78,1,1004,Kedungdoro
20,15,78,1,1005,Keputran
21,15,26,1,1001,Mlajah
22,15,26,1,1002,Demangan
23,15,26,1,1003,Kemayoran
24,15,26,1,1004,Pangeranan
25,15,26,1,1005,Pejagan
26,11,74,1,1001,Selong
27,11,74,1,1002,Gunung
28,11,74,1,1003,Kramat Pela
29,11,74,1,1004,Gandaria Utara
30,11,74,1,1005,Cipete Utara
31,12,73,1,1001,Campaka
32,12,73,1,1002,Ciroyom
33,12,73,1,1003,Dunguscariang
34,12,73,1,1004,Garuda
35,12,73,1,1005,Kebonjeruk
36,13,72,1,1001,Banjarsari
37,13,72,1,1002,Banyuanyar
38,13,72,1,1003,Gilingan
39,13,72,1,1004,Joglo
40,13,72,1,1005,Kadipiro
41,17,71,1,2001,Padangsambian
42,17,71,1,2002,Padangsambian Kaja
43,17,71,1,2003,Padangsambian Kelod
44,17,71,1,2004,Pemecutan Kelod
45,17,71,1,2005,Tegal Harum
46,2,71,1,1001,Amplas
47,2,71,1,1002,Bangun Mulia
48,2,71,1,1003,Harjosari I
49,2,71,1,1004,Harjosari II
50,2,71,1,1005,Sitirejo II
51,3,71,1,1001,Bungus Barat
52,3,71,1,1002,Bungus Selatan
53,3,71,1,1003,Bungus Timur
54,3,71,1,1004,Teluk Kabung Selatan
55,3,71,1,1005,Teluk Kabung Tengah
56,13,74,1,1001,Banyumanik
57,13,74,1,1002,Gedawang
58,13,74,1,1003,Jabungan
59,13,74,1,1004,Ngesrep
60,13,74,1,1005,Padangsari
61,27,71,1,1001,Bakung
62,27,71,1,1002,Berua
63,27,71,1,1003,Bulurokeng
64,27,71,1,1004,Daya
65,27,71,1,1005,Laikang
66,17,3,1,1001,Kuta
67,17,3,1,1002,Legian
68,17,3,1,1003,Seminyak
69,17,3,1,1004,Tuban
70,17,3,1,1005,Kedonganan
71,22,71,1,1001,Basirih
72,22,71,1,1002,Belitung Selatan
73,22,71,1,1003,Belitung Utara
74,22,71,1,1004,Kuin Cerucuk
75,22,71,1,1005,Kuin Selatan
76,20,71,3,1001,Akcaya
77,20,71,3,1002,Benuamelayu Darat
78,20,71,3,1003,Benuamelayu Laut
79,20,71,3,1004,Kota Baru
80,20,71,3,1005,Parit Tokaya
81,23,72,3,1001,Bugis
82,23,72,3,1002,Karang Mumus
83,23,72,3,1003,Pasar Pagi
84,23,72,3,1004,Pelabuhan
85,23,72,3,1005,Sungai Pinang Luar
86,25,71,1,1001,Bailang
87,25,71,1,1002,Molas
88,25,71,1,1003,Meras
89,25,71,1,1004,Pandu
90,25,71,1,1005,Tongkaina
91,31,71,1,1001,Benteng
92,31,71,1,1002,Kudamati
93,31,71,1,1003,Mangga Dua
94,31,71,1,1004,Nusaniwe
95,31,71,1,1005,Silale
96,38,71,1,1001,Kampung Baru
97,38,71,1,1002,Klabala
98,38,71,1,1003,Klasuur
99,38,71,1,1004,Klawasi
100,38,71,1,1005,Rufei
101,33,71,1,1001,Abepantai
102,33,71,1,1002,Asano
103,33,71,1,1003,Awiyo
104,33,71,1,1004,Kota Baru
105,33,71,1,1005,Vim
