id_kecamatan,id_provinsi,id_kota_lokal,id_kec_lokal,nama_kecamatan
0,0,0,0,-
1,1,1,1,Bakongan
2,1,1,2,Kluet Utara
3,1,1,3,Kluet Selatan
4,1,1,4,Labuhanhaji
5,1,1,5,Meukek
6,1,1,6,Samadua
7,1,1,7,Sawang
8,1,1,8,Tapaktuan
9,1,1,9,Trumon
10,15,78,8,Gubeng
11,1,2,1,Babussalam
12,1,2,2,Badar
13,1,2,3,Bambel
14,1,2,4,Lawe Alas
15,1,2,5,Lawe Sigala-Gala
16,1,3,1,Birem Bayeun
17,1,3,2,Darul Aman
18,1,3,3,Idi Rayeuk
19,1,3,4,Julok
20,1,3,5,Peureulak
21,1,4,1,Bebesen
22,1,4,2,Bintang
23,1,4,3,Linge
24,1,4,4,Pegasing
25,1,4,5,Silih Nara
26,1,5,1,Arongan Lambalek
27,1,5,2,Bubon
28,1,5,3,Johan Pahlawan
29,1,5,4,Kaway XVI
30,1,5,5,Woyla
31,2,71,1,Medan Amplas
32,2,71,2,Medan Belawan
33,2,71,3,Medan Deli
34,2,71,4,Medan Kota
35,2,71,5,Medan Sunggal
36,3,71,1,Bungus Teluk Kabung
37,3,71,2,Koto Tangah
38,3,71,3,Lubuk Begalung
39,3,71,4,Padang Barat
40,3,71,5,Padang Selatan
41,11,71,1,Cempaka Putih
42,11,71,2,Gambir
43,11,71,3,Johar Baru
44,11,71,4,Kemayoran
45,11,71,5,Menteng
46,12,73,1,Andir
47,12,73,2,Astana Anyar
48,12,73,3,Babakan Ciparay
49,12,73,4,Bandung Kidul
50,12,73,5,Bandung Kulon
51,13,74,1,Banyumanik
52,13,74,2,Candisari
53,13,74,3,Gajahmungkur
54,13,74,4,Gayamsari
55,13,74,5,Genuk
56,15,78,1,Tegalsari
57,15,78,2,Simokerto
58,15,78,3,Genteng
59,15,78,4,Bubutan
60,15,78,5,Wonokromo
61,17,71,1,Denpasar Barat
62,17,71,2,Denpasar Selatan
63,17,71,3,Denpasar Timur
64,17,71,4,Denpasar Utara
65,27,71,1,Biringkanaya
66,27,71,2,Bontoala
67,27,71,3,Makassar
68,27,71,4,Mamajang
69,27,71,5,Manggala
70,33,71,1,Abepura
71,33,71,2,Heram
72,33,71,3,Jayapura Selatan
73,33,71,4,Jayapura Utara
74,33,71,5,Muara Tami
75,4,71,1,Bukit Raya
76,4,71,2,Lima Puluh
77,4,71,3,Marpoyan Damai
78,4,71,4,Payung Sekaki
79,4,71,5,Pekanbaru Kota
80,5,71,1,Alambarajo
81,5,71,2,Danau Sipin
82,5,71,3,Jambi Selatan
83,5,71,4,Jambi Timur
84,5,71,5,Pasar Jambi
85,6,71,1,Alang-Alang Lebar
86,6,71,2,Bukit Kecil
87,6,71,3,Gandus
88,6,71,4,Ilir Barat I
89,6,71,5,Ilir Timur I
90,7,71,1,Gading Cempaka
91,7,71,2,Kampung Melayu
92,7,71,3,Muara Bangka Hulu
93,7,71,4,Ratu Agung
94,7,71,5,Teluk Segara
95,8,71,1,Bumi Waras
96,8,71,2,Enggal
97,8,71,3,Kedaton
98,8,71,4,Rajabasa
99,8,71,5,Tanjung Karang Pusat
100,9,71,1,Bukit Intan
101,9,71,2,Gerunggang
102,9,71,3,Pangkal Balam
103,9,71,4,Rangkui
104,9,71,5,Taman Sari
105,10,71,1,Batami Kota
106,10,71,2,Batu Ampar
107,10,71,3,Lubuk Baja
108,10,71,4,Nongsa
109,10,71,5,Sekupang
110,14,71,1,Danurejan
111,14,71,2,Gedongtengen
112,14,71,3,Gondokusuman
113,14,71,4,Kotagede
114,14,71,5,Mantrijeron
115,16,71,1,Batuceper
116,16,71,2,Benda
117,16,71,3,Ciledug
118,16,71,4,Cipondoh
119,16,71,5,Karawaci
120,18,71,1,Ampenan
121,18,71,2,Cakranegara
122,18,71,3,Mataram
123,18,71,4,Sandubaya
124,18,71,5,Selaparang
125,19,71,1,Alak
126,19,71,2,Kelapa Lima
127,19,71,3,Kota Raja
128,19,71,4,Maulafa
129,19,71,5,Oebobo
130,20,71,1,Pontianak Barat
131,20,71,2,Pontianak Kota
132,20,71,3,Pontianak Selatan
133,20,71,4,Pontianak Tenggara
134,20,71,5,Pontianak Utara
135,21,14,1,Bukit Batu
136,21,14,2,Jekan Raya
137,21,14,3,Mendawai
138,21,14,4,Pahandut
139,21,14,5,Sabangau
140,22,71,1,Banjarmasin Barat
141,22,71,2,Banjarmasin Selatan
142,22,71,3,Banjarmasin Tengah
143,22,71,4,Banjarmasin Timur
144,22,71,5,Banjarmasin Utara
145,23,72,1,Palaran
146,23,72,2,Samarinda Ilir
147,23,72,3,Samarinda Kota
148,23,72,4,Samarinda Utara
149,23,72,5,Samarinda Seberang
150,24,71,1,Tarakan Barat
151,24,71,2,Tarakan Central
152,24,71,3,Tarakan Timur
153,24,71,4,Tarakan Utara
154,25,71,1,Bunaken
155,25,71,2,Malalayang
156,25,71,3,Mapanget
157,25,71,4,Sario
158,25,71,5,Wenang
159,26,71,1,Mantikulore
160,26,71,2,Palu Barat
161,26,71,3,Palu Selatan
162,26,71,4,Palu Timur
163,26,71,5,Ulujadi
164,28,71,1,Baruga
165,28,71,2,Kadia
166,28,71,3,Kambu
167,28,71,4,Mandonga
168,28,71,5,Poasia
169,29,6,1,Dungingi
170,29,6,2,Kota Barat
171,29,6,3,Kota Selatan
172,29,6,4,Kota Timur
173,29,6,5,Kota Utara
174,30,2,1,Mamuju
175,30,2,2,Simboro
176,30,2,3,Tapalang
177,30,2,4,Kalukku
178,30,2,5,Tommo
179,31,71,1,Nusaniwe
180,31,71,2,Sirimau
181,31,71,3,Teluk Ambon
182,31,71,4,Baguala
183,31,71,5,Leitimur Selatan
184,32,71,1,Ternate Selatan
185,32,71,2,Ternate Tengah
186,32,71,3,Ternate Utara
187,32,71,4,Pulau Ternate
188,32,71,5,Moti
189,34,1,1,Manokwari Barat
190,34,1,2,Manokwari Selatan
191,34,1,3,Manokwari Timur
192,34,1,4,Manokwari Utara
193,34,1,5,Prafi
194,38,71,1,Sorong Kota
195,38,71,2,Sorong Barat
196,38,71,3,Sorong Kepulauan
197,38,71,4,Sorong Timur
198,38,71,5,Malaimsimsa
id_kecamatan,id_provinsi,id_kota_lokal,id_kec_lokal,nama_kecamatan
199,12,1,1,Cibinong
200,12,1,2,Gunung Putri
201,12,1,3,Citeureup
202,12,1,4,Sukaraja
203,12,1,5,Babakan Madang
204,12,75,1,Bekasi Barat
205,12,75,2,Bekasi Selatan
206,12,75,3,Bekasi Timur
207,12,75,4,Bekasi Utara
208,12,75,5,Jatiasih
209,12,76,1,Beji
210,12,76,2,Cimanggis
211,12,76,3,Pancoran Mas
212,12,76,4,Sukmajaya
213,12,76,5,Tapos
214,13,2,1,Purwokerto Barat
215,13,2,2,Purwokerto Selatan
216,13,2,3,Purwokerto Timur
217,13,2,4,Purwokerto Utara
218,13,2,5,Baturraden
219,13,72,1,Banjarsari
220,13,72,2,Jebres
221,13,72,3,Laweyan
222,13,72,4,Pasar Kliwon
223,13,72,5,Serengan
224,15,73,1,Blimbing
225,15,73,2,Kedungkandang
226,15,73,3,Klojen
227,15,73,4,Lowokwaru
228,15,73,5,Sukun
229,15,15,1,Buduran
230,15,15,2,Gedangan
231,15,15,3,Sidoarjo
232,15,15,4,Taman
233,15,15,5,Waru
234,16,74,1,Ciputat
235,16,74,2,Ciputat Timur
236,16,74,3,Pamulang
237,16,74,4,Pondok Aren
238,16,74,5,Serpong
239,2,7,1,Lubuk Pakam
240,2,7,2,Percut Sei Tuan
241,2,7,3,Tanjung Morawa
242,2,7,4,Sunggal
243,2,7,5,Beringin
244,27,6,1,Somba Opu
245,27,6,2,Pallangga
246,27,6,3,Barombong
247,27,6,4,Bontomarannu
248,27,6,5,Pattallassang
249,14,4,1,Depok
250,14,4,2,Mlati
251,14,4,3,Gamping
252,14,4,4,Ngaglik
253,14,4,5,Sleman
254,14,2,1,Bantul
255,14,2,2,Banguntapan
256,14,2,3,Sewon
257,14,2,4,Kasihan
258,14,2,5,Jetis
259,11,74,1,Kebayoran Baru
260,11,74,2,Kebayoran Lama
261,11,74,3,Cilandak
262,11,74,4,Pasar Minggu
263,11,74,5,Jagakarsa
264,11,75,1,Cakung
265,11,75,2,Duren Sawit
266,11,75,3,Jatinegara
267,11,75,4,Matraman
268,11,75,5,Pulo Gadung
269,16,3,1,Balaraja
270,16,3,2,Cikupa
271,16,3,3,Cisoka
272,16,3,4,Curug
273,16,3,5,Kelapa Dua
274,12,15,1,Karawang Barat
275,12,15,2,Karawang Timur
276,12,15,3,Klari
277,12,15,4,Telukjambe Timur
278,12,15,5,Telukjambe Barat
279,15,10,1,Banyuwangi
280,15,10,2,Genteng
281,15,10,3,Giri
282,15,10,4,Glagah
283,15,10,5,Rogojampi
284,15,25,1,Gresik
285,15,25,2,Kebomas
286,15,25,3,Manyar
287,15,25,4,Driyorejo
288,15,25,5,Menganti
289,13,10,1,Klaten Tengah
290,13,10,2,Klaten Utara
291,13,10,3,Klaten Selatan
292,13,10,4,Prambanan
293,13,10,5,Delanggu
294,17,3,1,Kuta
295,17,3,2,Kuta Selatan
296,17,3,3,Kuta Utara
297,17,3,4,Mengwi
298,17,3,5,Abiansemal
299,15,26,1,Bangkalan
300,15,26,2,Burneh
301,15,26,3,Kamal
302,15,26,4,Socah
303,15,26,5,Arosbaya
304,15,27,1,Sampang
305,15,27,2,Camplong
306,15,27,3,Omben
307,15,27,4,Torjun
308,15,27,5,Jrengik
309,15,28,1,Pamekasan
310,15,28,2,Pademawu
311,15,28,3,Galis
312,15,28,4,Tlanakan
313,15,28,5,Proppo
314,15,29,1,Kota Sumenep
315,15,29,2,Kalianget
316,15,29,3,Batuan
317,15,29,4,Lenteng
318,15,29,5,Manding
