id_kota,id_provinsi,id_kota_lokal,nama_kota
0,0,0,-
1,1,1,"Kabupaten Aceh Selatan"
2,1,2,"Kabupaten Aceh Tenggara"
3,1,3,"Kabupaten Aceh Timur"
4,1,4,"Kabupaten Aceh Tengah"
5,1,5,"Kabupaten Aceh Barat"
6,1,6,"Kabupaten Aceh Besar"
7,1,7,"Kabupaten Pidie"
8,1,8,"Kabupaten Aceh Utara"
9,1,9,"Kabupaten Simeulue"
10,1,10,"Kabupaten Aceh Singkil"
11,1,11,"Kabupaten Bireuen"
12,1,12,"Kabupaten Aceh Barat Daya"
13,1,13,"Kabupaten Gayo Lues"
14,1,14,"Kabupaten Aceh Jaya"
15,1,15,"Kabupaten Nagan Raya"
16,1,16,"Kabupaten Aceh Tamiang"
17,1,17,"Kabupaten Bener Meriah"
18,1,18,"Kabupaten Pidie Jaya"
19,1,71,"Kota Banda Aceh"
20,1,72,"Kota Sabang"
21,1,73,"Kota Lhokseumawe"
22,1,74,"Kota Langsa"
23,1,75,"Kota Subulussalam"
24,2,1,"Kabupaten Tapanuli Tengah"
25,2,2,"Kabupaten Tapanuli Utara"
26,2,3,"Kabupaten Tapanuli Selatan"
27,2,4,"Kabupaten Nias"
28,2,5,"Kabupaten Langkat"
29,2,6,"Kabupaten Karo"
30,2,7,"Kabupaten Deli Serdang"
31,2,8,"Kabupaten Simalungun"
32,2,9,"Kabupaten Asahan"
33,2,10,"Kabupaten Labuhanbatu"
34,2,11,"Kabupaten Dairi"
35,2,12,"Kabupaten Toba"
36,2,13,"Kabupaten Mandailing Natal"
37,2,14,"Kabupaten Nias Selatan"
38,2,15,"Kabupaten Pakpak Bharat"
39,2,16,"Kabupaten Humbang Hasundutan"
40,2,17,"Kabupaten Samosir"
41,2,18,"Kabupaten Serdang Bedagai"
42,2,19,"Kabupaten Batu Bara"
43,2,20,"Kabupaten Padang Lawas Utara"
44,2,21,"Kabupaten Padang Lawas"
45,2,22,"Kabupaten Labuhanbatu Selatan"
46,2,23,"Kabupaten Labuhanbatu Utara"
47,2,24,"Kabupaten Nias Utara"
48,2,25,"Kabupaten Nias Barat"
49,2,71,"Kota Medan"
50,2,72,"Kota Pematangsiantar"
51,2,73,"Kota Sibolga"
52,2,74,"Kota Tanjungbalai"
53,2,75,"Kota Binjai"
54,2,76,"Kota Tebing Tinggi"
55,2,77,"Kota Padangsidimpuan"
56,2,78,"Kota Gunungsitoli"
57,3,1,"Kabupaten Pesisir Selatan"
58,3,2,"Kabupaten Solok"
59,3,3,"Kabupaten Sijunjung"
60,3,4,"Kabupaten Tanah Datar"
61,3,5,"Kabupaten Padang Pariaman"
62,3,6,"Kabupaten Agam"
63,3,7,"Kabupaten Lima Puluh Kota"
64,3,8,"Kabupaten Pasaman"
65,3,9,"Kabupaten Kepulauan Mentawai"
66,3,10,"Kabupaten Dharmasraya"
67,3,11,"Kabupaten Solok Selatan"
68,3,12,"Kabupaten Pasaman Barat"
69,3,71,"Kota Padang"
70,3,72,"Kota Solok"
71,3,73,"Kota Sawahlunto"
72,3,74,"Kota Padang Panjang"
73,3,75,"Kota Bukittinggi"
74,3,76,"Kota Payakumbuh"
75,3,77,"Kota Pariaman"
76,4,1,"Kabupaten Kampar"
77,4,2,"Kabupaten Indragiri Hulu"
78,4,3,"Kabupaten Bengkalis"
79,4,4,"Kabupaten Indragiri Hilir"
80,4,5,"Kabupaten Pelalawan"
81,4,6,"Kabupaten Rokan Hulu"
82,4,7,"Kabupaten Rokan Hilir"
83,4,8,"Kabupaten Siak"
84,4,9,"Kabupaten Kuantan Singingi"
85,4,10,"Kabupaten Kepulauan Meranti"
86,4,71,"Kota Pekanbaru"
87,4,72,"Kota Dumai"
88,5,1,"Kabupaten Kerinci"
89,5,2,"Kabupaten Merangin"
90,5,3,"Kabupaten Sarolangun"
91,5,4,"Kabupaten Batanghari"
92,5,5,"Kabupaten Muaro Jambi"
93,5,6,"Kabupaten Tanjung Jabung Barat"
94,5,7,"Kabupaten Tanjung Jabung Timur"
95,5,8,"Kabupaten Bungo"
96,5,9,"Kabupaten Tebo"
97,5,71,"Kota Jambi"
98,5,72,"Kota Sungai Penuh"
99,6,1,"Kabupaten Ogan Komering Ulu"
100,6,2,"Kabupaten Ogan Komering Ilir"
101,6,3,"Kabupaten Muara Enim"
102,6,4,"Kabupaten Lahat"
103,6,5,"Kabupaten Musi Rawas"
104,6,6,"Kabupaten Musi Banyuasin"
105,6,7,"Kabupaten Banyuasin"
106,6,8,"Kabupaten Ogan Komering Ulu Timur"
107,6,9,"Kabupaten Ogan Komering Ulu Selatan"
108,6,10,"Kabupaten Ogan Ilir"
109,6,11,"Kabupaten Empat Lawang"
110,6,12,"Kabupaten Penukal Abab Lematang Ilir"
111,6,13,"Kabupaten Musi Rawas Utara"
112,6,71,"Kota Palembang"
113,6,72,"Kota Pagar Alam"
114,6,73,"Kota Lubuk Linggau"
115,6,74,"Kota Prabumulih"
116,7,1,"Kabupaten Bengkulu Selatan"
117,7,2,"Kabupaten Rejang Lebong"
118,7,3,"Kabupaten Bengkulu Utara"
119,7,4,"Kabupaten Kaur"
120,7,5,"Kabupaten Seluma"
121,7,6,"Kabupaten Mukomuko"
122,7,7,"Kabupaten Lebong"
123,7,8,"Kabupaten Kepahiang"
124,7,9,"Kabupaten Bengkulu Tengah"
125,7,71,"Kota Bengkulu"
126,8,1,"Kabupaten Lampung Selatan"
127,8,2,"Kabupaten Lampung Tengah"
128,8,3,"Kabupaten Lampung Utara"
