id_pulau,id_provinsi,kode_provinsi,nama_provinsi
0,0,-,-
1,1,11,Aceh
1,2,12,Sumatera Utara
1,3,13,Sumatera Barat
1,4,14,Riau
1,5,15,Jambi
1,6,16,Sumatera Selatan
1,7,17,Bengkulu
1,8,18,Lampung
1,9,19,Kepulauan Bangka Belitung
2,10,21,Kepulauan Riau
3,11,31,Daerah Khusus Ibukota Jakarta
3,12,32,Jawa Barat
3,13,33,Jawa Tengah
3,14,34,Daerah Istimewa Yogyakarta
3,15,35,Jawa Timur
3,16,36,Banten
5,17,51,Bali
5,18,52,Nusa Tenggara Barat
5,19,53,Nusa Tenggara Timur
6,20,61,Kalimantan Barat
6,21,62,Kalimantan Tengah
6,22,63,Kalimantan Selatan
6,23,64,Kalimantan Timur
6,24,65,Kalimantan Utara
7,25,71,Sulawesi Utara
7,26,72,Sulawesi Tengah
7,27,73,Sulawesi Selatan
7,28,74,Sulawesi Tenggara
7,29,75,Gorontalo
7,30,76,Sulawesi Barat
8,31,81,Maluku
8,32,82,Maluku Utara
9,33,91,Papua
9,34,92,Papua Barat
9,35,93,Papua Selatan
9,36,94,Papua Tengah
9,37,95,Papua Pegunungan
9,38,96,Papua Barat Daya
