id_paket,id_tindakan,id_komponen,tarif_kelas_3,tarif_kelas_2,tarif_kelas_1,tarif_vip,tarif_vvip
1,1,1,1500000,2000000,2500000,3500000,4500000
2,1,4,750000,1000000,1250000,1750000,2250000
3,1,13,350000,470000,600000,840000,1080000
4,1,10,300000,400000,500000,700000,900000
5,1,19,200000,270000,350000,490000,630000
6,3,1,2000000,2700000,3600000,5000000,6400000
7,3,4,1000000,1350000,1800000,2500000,3200000
8,3,6,400000,540000,720000,1000000,1280000
9,3,10,350000,470000,630000,875000,1120000
10,3,19,250000,340000,450000,625000,800000
11,7,1,1300000,1750000,2300000,3200000,4100000
12,7,4,650000,875000,1150000,1600000,2050000
13,7,13,300000,400000,530000,740000,945000
14,7,10,280000,375000,500000,695000,890000
15,7,19,175000,235000,310000,435000,555000
16,2,1,2850000,3600000,4650000,6300000,7950000
17,2,4,1425000,1800000,2325000,3150000,3975000
18,2,13,675000,850000,1075000,1475000,1850000
19,2,10,575000,725000,925000,1250000,1600000
20,2,19,380000,475000,625000,850000,1050000
21,4,1,2550000,3450000,4450000,6000000,7500000
22,4,4,1275000,1725000,2225000,3000000,3750000
23,4,6,600000,800000,1025000,1400000,1750000
24,4,10,500000,700000,900000,1200000,1500000
25,4,19,350000,450000,600000,800000,1000000
26,5,1,2550000,3300000,4350000,6000000,7650000
27,5,4,1275000,1650000,2175000,3000000,3825000
28,5,13,600000,775000,1025000,1400000,1775000
29,5,10,500000,650000,875000,1200000,1525000
30,5,19,350000,450000,575000,800000,1025000
31,6,1,4200000,5400000,6900000,9300000,11550000
32,6,4,2100000,2700000,3450000,4650000,5775000
33,6,13,975000,1250000,1600000,2175000,2700000
34,6,10,850000,1075000,1375000,1850000,2300000
35,6,19,550000,725000,925000,1250000,1550000
36,8,1,3150000,4200000,5550000,7500000,9600000
37,8,4,1575000,2100000,2775000,3750000,4800000
38,8,13,725000,975000,1300000,1750000,2250000
39,8,10,625000,850000,1100000,1500000,1925000
40,8,19,425000,550000,750000,1000000,1275000
41,9,1,650000,900000,1225000,1675000,2150000
42,9,4,325000,450000,625000,850000,1075000
43,9,13,150000,225000,275000,400000,500000
44,9,10,125000,175000,250000,325000,425000
45,9,19,100000,125000,175000,225000,300000
46,10,1,750000,1025000,1350000,1850000,2400000
47,10,4,375000,500000,675000,925000,1200000
48,10,13,175000,250000,325000,425000,550000
49,10,10,150000,200000,275000,375000,475000
50,10,19,100000,125000,175000,250000,325000
51,11,1,2850000,3900000,5250000,7200000,9150000
52,11,4,1425000,1950000,2625000,3600000,4575000
53,11,6,675000,900000,1225000,1675000,2125000
54,11,10,575000,775000,1050000,1450000,1825000
55,11,19,375000,525000,700000,950000,1225000
56,12,1,725000,950000,1300000,1800000,2350000
57,12,4,350000,475000,650000,900000,1175000
58,12,6,175000,225000,300000,425000,550000
59,12,10,150000,200000,250000,350000,475000
60,13,1,2400000,3250000,4250000,5850000,7500000
61,13,4,1200000,1625000,2125000,2925000,3750000
62,13,6,550000,750000,1000000,1375000,1750000
63,13,10,475000,650000,850000,1175000,1500000
64,13,19,325000,425000,575000,775000,1000000
65,14,1,2250000,3000000,4050000,5550000,7050000
